Model,Language,SpecLanguage,PromptStyle,TestCase,Run,Status,CyclesCompleted
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,7,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,pseudocode,hyper,guided,4,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,s,expression,hyper,12,"FAIL: Cycle 2 failed.",1
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,25,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,16,"FAIL: Cycle 2 failed.",1
falcon3-3b,ja,minilang,hyper,guided,20,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,26,"SUCCESS: All cycles completed.",10
gemma3-4b,en,pseudocode,fewshot,fizzbuzz,25,"SUCCESS: All cycles completed.",10
llama3.2-3b,en,s,expression,hyper,13,"FAIL: Cycle 1 failed.",0
falcon3-3b,en,s,expression,hyper,15,"FAIL: Cycle 7 failed.",6
falcon3-3b,en,pseudocode,fewshot,fizzbuzz,22,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,hyper,guided,3,"FAIL: Cycle 1 failed.",0
falcon3-3b,ja,s,expression,fewshot,4,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,pseudocode,fewshot,fizzbuzz,29,"FAIL: Cycle 2 failed.",1
gemma3-4b,ja,pseudocode,fewshot,fizzbuzz,11,"SUCCESS: All cycles completed.",10
gemma3-4b,en,minilang,fewshot,fizzbuzz,12,"SUCCESS: All cycles completed.",10
falcon3-3b,en,minilang,hyper,guided,19,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,fewshot,fizzbuzz,8,"FAIL: Cycle 9 failed.",8
falcon3-3b,ja,s,expression,fewshot,24,"SUCCESS: All cycles completed.",10
gemma3-4b,en,s,expression,fewshot,29,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,pseudocode,fewshot,fizzbuzz,21,"FAIL: Cycle 4 failed.",3
gemma3-4b,ja,s,expression,fewshot,15,"FAIL: Cycle 5 failed.",4
falcon3-3b,en,s,expression,fewshot,18,"SUCCESS: All cycles completed.",10
falcon3-3b,ja,s,expression,hyper,15,"SUCCESS: All cycles completed.",10
llama3.2-3b,ja,s,expression,hyper,13,"FAIL: Cycle 1 failed.",0
gemma3-4b,en,s,expression,fewshot,16,"SUCCESS: All cycles completed.",10
